timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1719568252422020375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252422204615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20387,88.4146,93.9666,60.3017
1719568252423180956,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.501,1729.24,,,,,,,,,,,
1719568252423187631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642147,0.607571,0.38659,0.690856,,,,,,,
1719568252423212444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252423378574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20387,88.4146,93.9666,60.3017
1719568252425746113,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.498,1729.24,,,,,,,,,,,
1719568252427016576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252427023954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642121,0.60757,0.386589,0.690858,,,,,,,
1719568252427203596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5445,-28.7339,-8.20387,88.4149,93.9667,60.3019
1719568252428118085,1719568252.0,428001457.0,,,,,,,,-5.450607520496309e-05,-0.0007160933257965,8.490390806414894e-05,0.0007231661199815,-0.0001256495916811,0.0013398082194496,-0.0005945137814274,0.0014711629825079,,,,,,,,,,,,,,,,,,,,,,
1719568252428127297,1719568252.0,427990710.0,-0.0450208603247397,-0.6355921425471355,1.7787080863634068,9.786244784545448e-05,0.0002183794435717,-3.5171177708941e-05,0.9999999707481736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719568252428132579,1719568252.0,428005726.0,,,,,,,,,,,,,,,,0.0186216504330483,-0.1283889821657169,-0.0062673920037781,0.1298837049399517,-0.0003945603243562,0.0019307215900043,0.0010477298702119,0.0022318381636219,,,,,,,,,,,,,,
1719568252431125063,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.499,1729.24,,,,,,,,,,,
1719568252431200480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642107,0.607568,0.386589,0.690859,,,,,,,
1719568252431371941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5445,-28.7337,-8.20387,88.4151,93.9668,60.302
1719568252434170511,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.5,1729.24,,,,,,,,,,,
1719568252434196124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642141,0.607571,0.38659,0.690856,,,,,,,
