Objects
300
,,Global Angle abb4400_tcp:abb4400_tcp,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
85,0,0.725433,2.037567,0.029279,42.226582,-1034.814819,2034.255737
86,0,0.725408,2.037575,0.029282,42.224754,-1034.814941,2034.256470
87,0,0.725410,2.037558,0.029275,42.224075,-1034.809326,2034.258545
88,0,0.725425,2.037590,0.029289,42.229290,-1034.815430,2034.258545
89,0,0.725437,2.037568,0.029289,42.224201,-1034.811401,2034.255981
90,0,0.725436,2.037569,0.029252,42.228348,-1034.817993,2034.256470
91,0,0.725410,2.037575,0.029284,42.225792,-1034.818726,2034.255249
92,0,0.725423,2.037565,0.029272,42.228558,-1034.820435,2034.255249
93,0,0.725419,2.037571,0.029291,42.231407,-1034.822266,2034.252441
94,0,0.725419,2.037560,0.029287,42.228924,-1034.816528,2034.252197
95,0,0.725435,2.037571,0.029274,42.230133,-1034.818115,2034.252441
96,0,0.725435,2.037567,0.029249,42.229065,-1034.817261,2034.251709
97,0,0.725418,2.037567,0.029257,42.227322,-1034.811279,2034.250977
98,0,0.725452,2.037568,0.029278,42.226517,-1034.815674,2034.251465
99,0,0.725429,2.037593,0.029299,42.228676,-1034.823242,2034.250732
100,0,0.725427,2.037581,0.029272,42.226234,-1034.819092,2034.251221
101,0,0.725411,2.037584,0.029276,42.226139,-1034.818726,2034.252197
102,0,0.725421,2.037573,0.029298,42.221191,-1034.812622,2034.252441
103,0,0.725418,2.037593,0.029304,42.224663,-1034.815308,2034.255981
104,0,0.725432,2.037578,0.029263,42.221153,-1034.806885,2034.257202
105,0,0.725409,2.037577,0.029295,42.221573,-1034.812012,2034.257935
106,0,0.725433,2.037568,0.029279,42.221611,-1034.811157,2034.260010
107,0,0.725415,2.037574,0.029263,42.222565,-1034.811890,2034.260498
108,0,0.725424,2.037564,0.029292,42.218994,-1034.808716,2034.257202
109,0,0.725418,2.037567,0.029283,42.221874,-1034.809204,2034.258545
110,0,0.725458,2.037557,0.029318,42.221191,-1034.808350,2034.260010
111,0,0.725465,2.037555,0.029303,42.223461,-1034.809937,2034.260254
112,0,0.725419,2.037556,0.029287,42.221634,-1034.811890,2034.262451
113,0,0.725419,2.037580,0.029315,42.221478,-1034.803589,2034.263184
114,0,0.725422,2.037551,0.029282,42.215908,-1034.807495,2034.261963
115,0,0.725421,2.037561,0.029259,42.218407,-1034.808350,2034.265259
116,0,0.725421,2.037567,0.029299,42.218876,-1034.809326,2034.261963
117,0,0.725431,2.037560,0.029268,42.221470,-1034.813354,2034.261475
118,0,0.725407,2.037582,0.029284,42.222607,-1034.822021,2034.257446
119,0,0.725458,2.037565,0.029284,42.223793,-1034.824951,2034.257690
120,0,0.725459,2.037585,0.029277,42.224197,-1034.822144,2034.255493
121,0,0.725384,2.037589,0.029321,42.228111,-1034.831299,2034.250732
122,0,0.725473,2.037568,0.029302,42.223427,-1034.822876,2034.251465
123,0,0.725451,2.037562,0.029322,42.224449,-1034.825073,2034.251709
124,0,0.725437,2.037572,0.029285,42.229397,-1034.828125,2034.249512
125,0,0.725442,2.037583,0.029302,42.226883,-1034.830688,2034.249023
126,0,0.725404,2.037590,0.029276,42.227348,-1034.828735,2034.248535
127,0,0.725448,2.037596,0.029342,42.227436,-1034.826050,2034.250977
128,0,0.725424,2.037584,0.029298,42.229271,-1034.838623,2034.250977
129,0,0.725424,2.037594,0.029297,42.225483,-1034.835449,2034.249756
130,0,0.725452,2.037573,0.029295,42.225578,-1034.830566,2034.252930
131,0,0.725425,2.037572,0.029298,42.224552,-1034.827759,2034.254272
132,0,0.725382,2.037590,0.029296,42.223034,-1034.825073,2034.256470
133,0,0.725437,2.037584,0.029313,42.224895,-1034.828003,2034.258789
134,0,0.725431,2.037570,0.029299,42.222702,-1034.826904,2034.257690
135,0,0.725423,2.037557,0.029284,42.222065,-1034.825928,2034.255737
136,0,0.725439,2.037572,0.029291,42.221306,-1034.822632,2034.255737
137,0,0.725461,2.037579,0.029313,42.222328,-1034.819580,2034.256714
138,0,0.725440,2.037561,0.029250,42.220890,-1034.821167,2034.257690
139,0,0.725408,2.037568,0.029295,42.221397,-1034.822998,2034.255249
140,0,0.725450,2.037554,0.029264,42.217239,-1034.818604,2034.258423
141,0,0.725447,2.037567,0.029280,42.217125,-1034.815796,2034.259277
142,0,0.725422,2.037597,0.029292,42.216324,-1034.814941,2034.260742
143,0,0.725423,2.037578,0.029294,42.217690,-1034.821533,2034.258423
144,0,0.725474,2.037566,0.029269,42.219536,-1034.824219,2034.254761
145,0,0.725494,2.037568,0.029264,42.220348,-1034.824341,2034.254517
146,0,0.725439,2.037566,0.029275,42.222263,-1034.824585,2034.253784
147,0,0.725434,2.037581,0.029306,42.220325,-1034.829712,2034.251953
148,0,0.725416,2.037567,0.029281,42.222321,-1034.826782,2034.251221
149,0,0.725436,2.037547,0.029251,42.221134,-1034.825684,2034.250244
150,0,0.725414,2.037580,0.029307,42.220051,-1034.827148,2034.252930
151,0,0.725399,2.037555,0.029277,42.218166,-1034.818115,2034.253174
152,0,0.725435,2.037562,0.029288,42.217873,-1034.824707,2034.255005
153,0,0.725416,2.037559,0.029274,42.220196,-1034.830933,2034.253174
154,0,0.725425,2.037567,0.029291,42.216568,-1034.824585,2034.255737
155,0,0.725449,2.037563,0.029275,42.218311,-1034.826660,2034.258179
156,0,0.725401,2.037561,0.029261,42.218658,-1034.822754,2034.255737
157,0,0.725424,2.037555,0.029296,42.216930,-1034.825928,2034.259033
158,0,0.725410,2.037538,0.029288,42.217831,-1034.816284,2034.259521
159,0,0.725463,2.037564,0.029271,42.216904,-1034.816772,2034.261230
160,0,0.725446,2.037546,0.029253,42.216980,-1034.811890,2034.262939
161,0,0.725427,2.037558,0.029277,42.215851,-1034.815674,2034.259766
162,0,0.725417,2.037557,0.029266,42.219837,-1034.823853,2034.258545
163,0,0.725444,2.037542,0.029269,42.217735,-1034.820801,2034.257202
164,0,0.725426,2.037553,0.029270,42.221043,-1034.821899,2034.251709
165,0,0.725476,2.037556,0.029300,42.220184,-1034.829224,2034.250732
166,0,0.725409,2.037560,0.029254,42.222431,-1034.831665,2034.249023
167,0,0.725429,2.037560,0.029252,42.223934,-1034.833740,2034.249023
168,0,0.725440,2.037565,0.029262,42.221142,-1034.833374,2034.248535
169,0,0.725457,2.037566,0.029275,42.218067,-1034.825806,2034.250000
170,0,0.725421,2.037554,0.029271,42.221634,-1034.831543,2034.248169
171,0,0.725462,2.037544,0.029270,42.223614,-1034.827026,2034.247925
172,0,0.725441,2.037560,0.029286,42.220623,-1034.822876,2034.250000
173,0,0.725434,2.037574,0.029253,42.222729,-1034.826538,2034.251465
174,0,0.725414,2.037580,0.029252,42.221779,-1034.826782,2034.250244
175,0,0.725473,2.037568,0.029271,42.222713,-1034.828247,2034.248535
176,0,0.725450,2.037561,0.029267,42.224129,-1034.832520,2034.251709
177,0,0.725461,2.037559,0.029247,42.223835,-1034.824951,2034.251221
178,0,0.725439,2.037573,0.029247,42.219501,-1034.822754,2034.254761
179,0,0.725423,2.037558,0.029244,42.218956,-1034.820801,2034.254028
180,0,0.725449,2.037550,0.029262,42.218273,-1034.821411,2034.256226
181,0,0.725419,2.037560,0.029281,42.220688,-1034.817627,2034.255493
182,0,0.725459,2.037565,0.029238,42.222164,-1034.820068,2034.257446
183,0,0.725484,2.037538,0.029266,42.220333,-1034.822632,2034.256470
184,0,0.725433,2.037568,0.029255,42.221874,-1034.818481,2034.259033
185,0,0.725414,2.037565,0.029287,42.218208,-1034.815796,2034.255981
186,0,0.725413,2.037570,0.029254,42.219204,-1034.812500,2034.255249
187,0,0.725433,2.037567,0.029283,42.221458,-1034.820923,2034.256714
188,0,0.725443,2.037590,0.029297,42.218067,-1034.813965,2034.259766
189,0,0.725427,2.037563,0.029313,42.217705,-1034.813110,2034.257935
190,0,0.725416,2.037548,0.029248,42.220512,-1034.816162,2034.257202
191,0,0.725441,2.037544,0.029304,42.220173,-1034.817017,2034.257935
192,0,0.725470,2.037566,0.029290,42.219532,-1034.816772,2034.252930
193,0,0.725445,2.037566,0.029276,42.223251,-1034.823730,2034.253540
