timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,ap_x,ap_y,ap_z,aq_x,aq_y,aq_z,aq_w
1720702091998160480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.386592,0.690856,0.0642174,,,,,,,,,,,,,,
1720702091998181274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702091998320728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.74393,-9.98087,79.5499,52.7277,66.4782,,,,,,,
1720702092000473150,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-299.999,1850.0,,,,,,,,,,,,,,,,,,
1720702092000762949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.38659,0.690857,0.0642134,,,,,,,,,,,,,,
1720702092002184449,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-299.999,1850.0,,,,,,,,,,,,,,,,,,
1720702092002192373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.38659,0.690857,0.0642134,,,,,,,,,,,,,,
1720702092002268313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092002381432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.74393,-9.98087,79.5501,52.7279,66.4786,,,,,,,
1720702092004484470,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092004550477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.38659,0.690857,0.0642156,,,,,,,,,,,,,,
1720702092004583267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092004733294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.74393,-9.98091,79.5501,52.7278,66.4784,,,,,,,
1720702092006208256,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092006214241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.38659,0.690857,0.0642156,,,,,,,,,,,,,,
1720702092006227027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092006359515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.74393,-9.98091,79.5501,52.7278,66.4784,,,,,,,
1720702092007914512,1720702092.0,7832220.0,,,,,,,,0.6174916070411651,-0.647966254975485,-1.3313382270618843,1.604249864325853,0.0009166087571038,-0.0005450016690686,-0.0015447074037885,0.001877050717537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092007919137,1720702092.0,7806877.0,229.0725801807126,119.6061534490571,1906.3834372057352,0.0013490898972746,0.002730478731727,0.0210620487380937,0.999773531628688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092007921880,1720702092.0,7837753.0,,,,,,,,,,,,,,,,0.0731584283258923,-0.127651192365491,-0.1718729882349556,0.2262461195960265,-0.000157222570512,-0.0009834848101666,-0.0004016659299048,0.0010739165832378,,,,,,,,,,,,,,,,,,,,,
1720702092009049453,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092009085641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386588,0.690857,0.0642146,,,,,,,,,,,,,,
1720702092009156476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092009307260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3886,6.7438,-9.98091,79.5501,52.7278,66.4787,,,,,,,
1720702092010129892,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092010309792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386588,0.690857,0.0642146,,,,,,,,,,,,,,
1720702092010354408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092012626683,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092012696211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386586,0.690859,0.064213,,,,,,,,,,,,,,
1720702092012742978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092012972488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3886,6.7438,-9.98091,79.5501,52.7278,66.4787,,,,,,,
1720702092014249510,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092014304794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386586,0.690859,0.064213,,,,,,,,,,,,,,
1720702092014465888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.7438,-9.98087,79.5504,52.7276,66.4788,,,,,,,
1720702092016621863,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092016710396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.386589,0.690858,0.0642142,,,,,,,,,,,,,,
1720702092016800317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1720702092016970436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.7438,-9.98087,79.5504,52.7276,66.4788,,,,,,,
1720702092017885350,1720702092.0,17807755.0,,,,,,,,0.6181773405222746,-1.3005257933448866,-2.662512493500913,3.026959421852065,-0.002756629675179,-0.0003886177782877,0.0017506261287417,0.0032885745827504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092017894136,1720702092.0,17792792.0,229.07876195411785,119.59314819112366,1906.3568120808,0.0013352450444941,0.0027288381926177,0.0210707648703906,0.9997733710349394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092017900081,1720702092.0,17812519.0,,,,,,,,,,,,,,,,6.857334811094518e-05,-0.0652559538369401,-0.1331174266439028,0.1482517908484338,-0.0036732462042476,0.0001563971584848,0.0032953242395863,0.004937242103868,,,,,,,,,,,,,,,,,,,,,
1720702092018187792,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092018303868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.386589,0.690858,0.0642142,,,,,,,,,,,,,,
1720702092018499847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3886,6.74393,-9.98108,79.5501,52.7279,66.4788,,,,,,,
1720702092020617881,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092020755767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607572,0.386587,0.690857,0.0642135,,,,,,,,,,,,,,
1720702092021014595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3886,6.74393,-9.98108,79.5501,52.7279,66.4788,,,,,,,
1720702092022303833,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092022403623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607572,0.386587,0.690857,0.0642135,,,,,,,,,,,,,,
1720702092024658137,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.002,1850.0,,,,,,,,,,,,,,,,,,
1720702092024777832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386589,0.690857,0.0642139,,,,,,,,,,,,,,
1720702092025059025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3886,6.7438,-9.98091,79.5501,52.7278,66.4789,,,,,,,
1720702092026299344,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.001,1850.0,,,,,,,,,,,,,,,,,,
1720702092026421147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607571,0.386589,0.690857,0.0642139,,,,,,,,,,,,,,
1720702092026696322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,6.74401,-9.98071,79.5501,52.7278,66.4785,,,,,,,
1720702092027901164,1720702092.0,27817489.0,,,,,,,,0.0724604315799348,-0.8003591797325904,-1.4690130063943485,1.674462464100864,0.0017303067053924,0.001060396566196,0.0014754112110086,0.0025090317682118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092027914674,1720702092.0,27797293.0,229.07948655843364,119.58514459932633,1906.342121950736,0.0013439862032689,0.0027339665293998,0.0210781567821216,0.9997731894958826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
